"","","","","","","",""
400.perlbench,2387,855,1493,38,1,4
401.bzip2,176,27,149,0,0,0
403.gcc,5670,2558,3109,3,0,1
429.mcf,42,5,37,0,0,0
433.milc,128,10,117,0,1,0
444.namd,262,113,148,0,1,0
445.gobmk,1021,312,705,3,1,1
447.dealII,10455,4009,6394,20,32,0
450.soplex,2389,927,1437,14,11,0
453.povray,1967,560,1389,4,14,0
456.hmmer,408,82,319,1,6,0
458.sjeng,372,128,234,1,9,1
462.libquantum,49,17,32,0,0,0
464.h264ref,2953,712,2238,2,1,1
470.lbm,23,4,19,0,0,0
471.omnetpp,391,92,297,0,2,0
473.astar,202,62,140,0,0,0
482.sphinx3,168,32,136,0,0,0
483.xalancbmk,5894,2586,3301,4,3,2
Grandtotal,34957,13091,21694,90,82,10
"","","","","","","",""